Repetition_nr;Nitrogen_level;Soil_conditioning;Setup_IAN;Invasive_species;Species;Status;Shoot_dry_weight;Root_dry_weight
1;64;T;N;Solidago_gigantea;Ranunculus;N;220,7;112,1
2;64;T;N;Solidago_gigantea;Agrostis;N;164;81,7
2;64;T;N;Solidago_gigantea;Centaurea;N;439,9;307,7
2;64;T;N;Solidago_gigantea;Plantago;N;377,2;162,4
2;64;T;N;Solidago_gigantea;Ranunculus;N;39;21
3;64;T;N;Solidago_gigantea;Agrostis;N;174,2;70
3;64;T;N;Solidago_gigantea;Centaurea;N;257,3;218,3
3;64;T;N;Solidago_gigantea;Plantago;N;340;226,6
3;64;T;N;Solidago_gigantea;Ranunculus;N;102,9;35,2
1;4;C;I;Phytolacca_americana;Invasive;I;16,1;4,9
2;4;C;I;Phytolacca_americana;Invasive;I;10,9;0
3;4;C;I;Phytolacca_americana;Invasive;I;15,7;0
1;8;C;I;Phytolacca_americana;Invasive;I;340,3;273,6
2;8;C;I;Phytolacca_americana;Invasive;I;171,5;100
3;8;C;I;Phytolacca_americana;Invasive;I;366,3;172
1;16;C;I;Phytolacca_americana;Invasive;I;1137,7;842,1
2;16;C;I;Phytolacca_americana;Invasive;I;1156,5;742,1
3;16;C;I;Phytolacca_americana;Invasive;I;108,4;83,6
1;32;C;I;Phytolacca_americana;Invasive;I;293,3;151,8
2;32;C;I;Phytolacca_americana;Invasive;I;488,1;293,6
3;32;C;I;Phytolacca_americana;Invasive;I;1035,9;588,7
1;64;C;I;Phytolacca_americana;Invasive;I;222,9;156,5
2;64;C;I;Phytolacca_americana;Invasive;I;752,6;708,2
3;64;C;I;Phytolacca_americana;Invasive;I;542,5;245,1
1;4;T;I;Phytolacca_americana;Invasive;I;26,2;0,7
2;4;T;I;Phytolacca_americana;Invasive;I;10,3;0
3;4;T;I;Phytolacca_americana;Invasive;I;32;3,5
1;8;T;I;Phytolacca_americana;Invasive;I;53;32,8
2;8;T;I;Phytolacca_americana;Invasive;I;85,3;37,6
3;8;T;I;Phytolacca_americana;Invasive;I;163,3;68,2
1;16;T;I;Phytolacca_americana;Invasive;I;825,5;777,9
2;16;T;I;Phytolacca_americana;Invasive;I;284,6;184,2
3;16;T;I;Phytolacca_americana;Invasive;I;958,5;716,5
1;32;T;I;Phytolacca_americana;Invasive;I;652,7;670,1
2;32;T;I;Phytolacca_americana;Invasive;I;135,3;56,8
3;32;T;I;Phytolacca_americana;Invasive;I;491,7;321,1
1;64;T;I;Phytolacca_americana;Invasive;I;742,9;389,6
2;64;T;I;Phytolacca_americana;Invasive;I;1069,1;435,4
3;64;T;I;Phytolacca_americana;Invasive;I;462,5;256,6
1;4;C;A;Phytolacca_americana;Invasive;I;10,4;6,5
1;4;C;A;Phytolacca_americana;Agrostis;N;11,8;9,9
1;4;C;A;Phytolacca_americana;Centaurea;N;66,7;54,6
1;4;C;A;Phytolacca_americana;Plantago;N;60,1;43,6
1;4;C;A;Phytolacca_americana;Ranunculus;N;0;0
2;4;C;A;Phytolacca_americana;Invasive;I;22,6;7,9
2;4;C;A;Phytolacca_americana;Agrostis;N;1,7;0
2;4;C;A;Phytolacca_americana;Centaurea;N;55,6;91,3
2;4;C;A;Phytolacca_americana;Plantago;N;18,3;22,7
2;4;C;A;Phytolacca_americana;Ranunculus;N;9,1;0
3;4;C;A;Phytolacca_americana;Invasive;I;16,1;3,6
3;4;C;A;Phytolacca_americana;Agrostis;N;5,1;0,7
3;4;C;A;Phytolacca_americana;Centaurea;N;53,2;44,3
3;4;C;A;Phytolacca_americana;Plantago;N;19,8;2
3;4;C;A;Phytolacca_americana;Ranunculus;N;12,9;6,7
1;8;C;A;Phytolacca_americana;Invasive;I;99;67
1;8;C;A;Phytolacca_americana;Agrostis;N;23,8;30,8
1;8;C;A;Phytolacca_americana;Centaurea;N;168;136,4
1;8;C;A;Phytolacca_americana;Plantago;N;19,6;5,6
1;8;C;A;Phytolacca_americana;Ranunculus;N;0;0
2;8;C;A;Phytolacca_americana;Invasive;I;176;70,4
2;8;C;A;Phytolacca_americana;Agrostis;N;30,6;11,6
2;8;C;A;Phytolacca_americana;Centaurea;N;84,7;47,4
2;8;C;A;Phytolacca_americana;Plantago;N;21,8;13
2;8;C;A;Phytolacca_americana;Ranunculus;N;2,8;0
3;8;C;A;Phytolacca_americana;Invasive;I;80,1;33
3;8;C;A;Phytolacca_americana;Agrostis;N;60;60,9
3;8;C;A;Phytolacca_americana;Centaurea;N;117,7;78
3;8;C;A;Phytolacca_americana;Plantago;N;57,6;14,5
3;8;C;A;Phytolacca_americana;Ranunculus;N;0,7;0
1;16;C;A;Phytolacca_americana;Invasive;I;312,8;291
1;16;C;A;Phytolacca_americana;Agrostis;N;208,2;81,4
1;16;C;A;Phytolacca_americana;Centaurea;N;150,2;98,2
1;16;C;A;Phytolacca_americana;Plantago;N;264,5;137,8
1;16;C;A;Phytolacca_americana;Ranunculus;N;207;127,6
2;16;C;A;Phytolacca_americana;Invasive;I;138;67,5
2;16;C;A;Phytolacca_americana;Agrostis;N;108,7;45
2;16;C;A;Phytolacca_americana;Centaurea;N;187,5;147,1
2;16;C;A;Phytolacca_americana;Plantago;N;174,2;83,1
2;16;C;A;Phytolacca_americana;Ranunculus;N;18,6;9
3;16;C;A;Phytolacca_americana;Invasive;I;281,4;179,4
3;16;C;A;Phytolacca_americana;Agrostis;N;89,7;42,3
3;16;C;A;Phytolacca_americana;Centaurea;N;178,8;179,5
3;16;C;A;Phytolacca_americana;Plantago;N;443,1;222,9
3;16;C;A;Phytolacca_americana;Ranunculus;N;108,1;127,2
1;32;C;A;Phytolacca_americana;Invasive;I;300;138,2
1;32;C;A;Phytolacca_americana;Agrostis;N;186,9;46,7
1;32;C;A;Phytolacca_americana;Centaurea;N;375,4;269,3
1;32;C;A;Phytolacca_americana;Plantago;N;553,3;271,2
1;32;C;A;Phytolacca_americana;Ranunculus;N;141,3;89,5
2;32;C;A;Phytolacca_americana;Invasive;I;881,2;503,6
2;32;C;A;Phytolacca_americana;Agrostis;N;22,5;7,7
2;32;C;A;Phytolacca_americana;Centaurea;N;701,6;537,7
2;32;C;A;Phytolacca_americana;Plantago;N;66,7;22,5
2;32;C;A;Phytolacca_americana;Ranunculus;N;56,5;48,9
3;32;C;A;Phytolacca_americana;Invasive;I;504,5;410,8
3;32;C;A;Phytolacca_americana;Agrostis;N;385,2;126,7
3;32;C;A;Phytolacca_americana;Centaurea;N;273,5;205,5
3;32;C;A;Phytolacca_americana;Plantago;N;448,1;202,6
3;32;C;A;Phytolacca_americana;Ranunculus;N;13,6;7,1
1;64;C;A;Phytolacca_americana;Invasive;I;205,6;254,1
1;64;C;A;Phytolacca_americana;Agrostis;N;320,8;75,4
1;64;C;A;Phytolacca_americana;Centaurea;N;277,4;134,3
1;64;C;A;Phytolacca_americana;Plantago;N;444,6;138,5
1;64;C;A;Phytolacca_americana;Ranunculus;N;384,8;140,8
2;64;C;A;Phytolacca_americana;Invasive;I;291,3;46,9
2;64;C;A;Phytolacca_americana;Agrostis;N;242,7;78,3
2;64;C;A;Phytolacca_americana;Centaurea;N;367,6;231,6
2;64;C;A;Phytolacca_americana;Plantago;N;245,5;74
2;64;C;A;Phytolacca_americana;Ranunculus;N;4,3;0
3;64;C;A;Phytolacca_americana;Invasive;I;684,8;358,8
3;64;C;A;Phytolacca_americana;Agrostis;N;161,4;64,6
3;64;C;A;Phytolacca_americana;Centaurea;N;433;445,6
3;64;C;A;Phytolacca_americana;Plantago;N;526,8;156,5
3;64;C;A;Phytolacca_americana;Ranunculus;N;197,5;152,9
1;4;T;A;Phytolacca_americana;Invasive;I;20,3;1
1;4;T;A;Phytolacca_americana;Agrostis;N;21,5;22,6
1;4;T;A;Phytolacca_americana;Centaurea;N;45,8;44,8
1;4;T;A;Phytolacca_americana;Plantago;N;16;0
1;4;T;A;Phytolacca_americana;Ranunculus;N;6;5,9
2;4;T;A;Phytolacca_americana;Invasive;I;22,1;1,4
2;4;T;A;Phytolacca_americana;Agrostis;N;2,2;0,9
2;4;T;A;Phytolacca_americana;Centaurea;N;15,7;2,8
2;4;T;A;Phytolacca_americana;Plantago;N;16,5;10,7
2;4;T;A;Phytolacca_americana;Ranunculus;N;8,3;0
3;4;T;A;Phytolacca_americana;Invasive;I;20,6;9,1
3;4;T;A;Phytolacca_americana;Agrostis;N;4,3;4,2
3;4;T;A;Phytolacca_americana;Centaurea;N;40;36,1
3;4;T;A;Phytolacca_americana;Plantago;N;6,2;5,6
3;4;T;A;Phytolacca_americana;Ranunculus;N;0;0
1;8;T;A;Phytolacca_americana;Invasive;I;69,4;27,2
1;8;T;A;Phytolacca_americana;Agrostis;N;17,6;2,6
1;8;T;A;Phytolacca_americana;Centaurea;N;80,8;68
1;8;T;A;Phytolacca_americana;Plantago;N;54,2;30,9
1;8;T;A;Phytolacca_americana;Ranunculus;N;0;0
2;8;T;A;Phytolacca_americana;Invasive;I;19,9;0
2;8;T;A;Phytolacca_americana;Agrostis;N;3,8;2,4
2;8;T;A;Phytolacca_americana;Centaurea;N;79,9;44,5
2;8;T;A;Phytolacca_americana;Plantago;N;23,5;18,8
2;8;T;A;Phytolacca_americana;Ranunculus;N;0;0
